Fire_Lons,Fire_Lats
146.52,-31.527
146.716,-31.451
151.339,-29.738
152.334,-29.202
152.345,-29.199
151.994,-29.107
152.141,-28.585
152.132,-28.585
151.273,-28.598
152.865,-28.17
150.677,-28.454
150.096,-28.227
150.093,-28.213
150.323,-28.109
150.217,-27.801
148.287,-27.151
148.271,-27.153
149.731,-26.51
149.715,-26.513
151.799,-25.927
149.198,-26.193
148.424,-26.317
152.138,-25.617
152.049,-25.602
151.966,-25.617
152.024,-25.59
152.021,-25.575
146.488,-26.257
151.952,-25.216
149.914,-25.249
148.673,-25.128
151.043,-24.604
148.188,-24.948
148.136,-24.928
147.566,-24.964
147.635,-24.912
147.574,-24.922
147.558,-24.924
147.602,-24.903
147.571,-24.908
147.577,-24.895
147.69,-24.823
147.611,-24.821
147.608,-24.808
147.288,-24.857
147.621,-24.792
147.642,-24.777
147.273,-24.82
147.242,-24.825
147.27,-24.807
150.384,-23.867
150.381,-23.853
150.576,-23.788
147.302,-23.693
146.562,-23.683
150.368,-22.848
145.987,-23.336
149.665,-22.536
147.362,-22.819
146.579,-22.939
149.311,-22.148
147.718,-22.372
147.612,-22.306
147.709,-22.279
145.87,-22.463
145.371,-22.524
149.145,-21.866
132.39,-23.66
149.377,-21.609
147.775,-21.605
147.878,-21.386
131.654,-23.039
147.948,-21.074
147.899,-21.068
148.42,-20.945
146.152,-21.017
147.095,-20.86
146.749,-20.9
146.464,-20.93
145.747,-21.011
146.455,-20.877
146.218,-20.873
146.716,-20.756
145.527,-20.935
147.172,-20.644
147.649,-20.473
145.513,-20.802
146.333,-20.653
147.671,-20.375
147.485,-20.391
147.366,-20.385
146.868,-20.449
146.19,-20.445
146.008,-20.445
145.673,-20.387
146.304,-20.265
146.142,-20.25
140.72,-20.857
146.343,-20.056
145.882,-19.789
146.779,-19.637
145.806,-19.787
145.732,-19.798
145.833,-19.769
145.759,-19.78
145.733,-19.758
145.76,-19.74
145.686,-19.751
145.802,-19.72
145.755,-19.713
145.677,-19.698
145.82,-19.609
145.686,-19.616
142.098,-20.055
145.538,-19.502
141.856,-20.01
145.625,-19.476
142.036,-19.941
142.032,-19.911
145.233,-19.44
141.654,-19.912
141.998,-19.869
141.996,-19.854
141.015,-19.948
141.932,-19.816
141.872,-19.808
141.852,-19.811
141.831,-19.798
141.789,-19.788
141.821,-19.785
141.801,-19.788
141.782,-19.79
141.758,-19.763
141.736,-19.75
141.751,-19.717
141.712,-19.722
145.815,-19.137
141.588,-19.614
141.76,-19.47
145.797,-18.897
141.792,-19.467
141.754,-19.472
141.751,-19.457
141.712,-19.462
145.807,-18.868
145.793,-18.87
134.756,-20.224
145.791,-18.857
145.776,-18.859
144.908,-18.989
141.895,-19.361
141.876,-19.363
141.874,-19.348
141.904,-19.345
141.885,-19.347
134.736,-19.991
133.674,-20.034
144.868,-18.699
145.22,-18.633
145.205,-18.635
133.639,-19.985
145.137,-18.537
145.122,-18.539
140.752,-18.91
140.664,-18.921
145.359,-18.207
145.356,-18.194
144.357,-18.273
142.216,-18.568
142.198,-18.57
140.764,-18.737
140.252,-18.799
142.207,-18.551
140.756,-18.728
140.734,-18.731
140.427,-18.77
140.26,-18.791
140.242,-18.777
143.091,-18.386
139.209,-18.885
139.189,-18.869
141.164,-18.596
141.182,-18.578
145.12,-18.027
141.175,-18.582
144.274,-18.138
141.152,-18.57
144.257,-18.127
143.364,-18.118
144.848,-17.877
140.871,-18.418
144.86,-17.862
140.964,-18.38
144.321,-17.807
143.858,-17.805
142.827,-17.899
143.864,-17.644
144.548,-17.517
144.534,-17.519
144.576,-17.499
144.487,-17.512
144.44,-17.452
144.007,-17.516
141.56,-17.825
143.017,-17.599
144.653,-17.327
144.403,-17.364
144.489,-17.337
145.82,-17.096
137.09,-18.235
137.088,-18.215
137.11,-18.192
144.143,-17.308
144.096,-17.301
143.871,-17.334
144.214,-17.27
144.96,-17.146
144.122,-17.269
137.048,-18.134
137.045,-18.113
144.56,-17.124
142.377,-17.437
137.061,-18.107
144.219,-17.161
144.554,-17.084
144.289,-17.123
144.2,-17.136
144.155,-17.143
144.198,-17.123
145.262,-16.911
145.233,-16.916
145.216,-16.905
145.229,-16.889
145.214,-16.891
145.2,-16.894
144.487,-17.0
144.103,-17.056
145.197,-16.88
145.21,-16.865
137.222,-17.903
145.208,-16.851
145.193,-16.854
145.179,-16.856
145.191,-16.84
145.176,-16.842
145.162,-16.845
137.027,-17.883
145.181,-16.829
145.167,-16.831
144.026,-17.001
143.921,-17.016
145.165,-16.818
144.143,-16.97
137.117,-17.889
137.093,-17.891
137.045,-17.897
145.177,-16.802
145.163,-16.805
145.175,-16.789
142.206,-17.216
145.173,-16.776
145.17,-16.762
144.179,-16.91
132.832,-18.226
145.197,-16.745
145.168,-16.749
132.806,-18.201
145.195,-16.731
141.97,-17.189
145.388,-16.69
145.185,-16.721
144.445,-16.831
145.443,-16.668
145.4,-16.674
144.763,-16.77
144.749,-16.773
144.56,-16.801
142.626,-17.08
132.847,-18.227
144.47,-16.8
143.953,-16.876
142.607,-17.068
142.133,-17.134
132.798,-18.204
144.803,-16.737
143.995,-16.856
143.98,-16.858
132.957,-18.164
144.539,-16.763
144.034,-16.809
143.914,-16.826
143.972,-16.804
143.492,-16.849
142.128,-17.026
143.867,-16.767
143.805,-16.762
144.789,-16.604
144.057,-16.712
143.982,-16.722
144.511,-16.631
144.496,-16.634
144.055,-16.698
142.854,-16.868
144.479,-16.622
142.574,-16.892
144.484,-16.61
143.774,-16.714
143.455,-16.76
141.237,-17.071
143.877,-16.685
143.772,-16.701
145.014,-16.489
143.813,-16.667
143.721,-16.666
143.136,-16.75
143.613,-16.668
143.506,-16.683
144.03,-16.594
143.774,-16.617
142.972,-16.73
144.181,-16.546
144.034,-16.568
144.209,-16.528
143.291,-16.662
143.009,-16.702
144.0,-16.545
143.97,-16.55
143.955,-16.552
143.791,-16.576
143.366,-16.637
142.911,-16.702
142.847,-16.711
142.799,-16.718
143.819,-16.558
142.973,-16.679
144.01,-16.516
143.996,-16.518
143.981,-16.521
143.966,-16.523
143.847,-16.54
143.802,-16.547
143.05,-16.654
144.068,-16.494
143.994,-16.505
143.949,-16.511
143.8,-16.533
143.016,-16.644
143.857,-16.511
143.93,-16.487
143.915,-16.489
143.9,-16.491
143.855,-16.497
143.811,-16.504
143.508,-16.547
143.92,-16.477
143.906,-16.479
143.484,-16.541
143.269,-16.572
143.451,-16.531
143.946,-16.446
143.093,-16.569
142.711,-16.623
143.869,-16.443
143.675,-16.471
143.614,-16.48
143.401,-16.511
143.355,-16.517
143.2,-16.539
142.463,-16.643
142.413,-16.65
143.838,-16.434
143.089,-16.541
143.026,-16.55
143.701,-16.44
143.008,-16.538
142.977,-16.542
143.287,-16.485
143.085,-16.513
143.053,-16.518
142.879,-16.542
144.333,-16.32
142.781,-16.541
142.57,-16.57
142.203,-16.62
144.324,-16.309
143.323,-16.456
143.168,-16.478
143.121,-16.485
143.15,-16.466
143.072,-16.478
142.819,-16.514
143.148,-16.453
143.133,-16.455
143.07,-16.464
142.769,-16.507
142.623,-16.527
141.932,-16.623
137.733,-17.159
143.546,-16.382
142.879,-16.477
142.815,-16.486
142.651,-16.494
144.005,-16.287
142.888,-16.433
142.792,-16.446
142.467,-16.491
142.465,-16.477
142.382,-16.488
142.893,-16.41
142.765,-16.428
142.34,-16.488
143.049,-16.373
142.891,-16.396
142.52,-16.448
142.438,-16.46
142.321,-16.476
143.031,-16.362
142.984,-16.369
142.873,-16.384
142.809,-16.393
142.729,-16.405
142.616,-16.421
142.551,-16.43
142.518,-16.434
142.485,-16.439
142.791,-16.382
142.614,-16.406
144.32,-16.147
142.448,-16.415
142.431,-16.417
144.333,-16.132
142.61,-16.378
142.544,-16.387
