Site Name,Altitude (metres),EU Site ID,Easting,Environment Type,Government Region,Latitude,Longitude,Northing,Site Address,Site Code,UK-AIR ID
Aberdeen, 20, GB0729A,394396, Urban Background, North East Scotland,57.15736,-2.094278,807392,   Aberdeen ,ABD, UKA00399
Aberdeen Union Street Roadside, 26, GB0923A,393656, Urban Traffic, North East Scotland,57.144555,-2.106472,805968,   Aberdeen ,ABD7, UKA00513
Aberdeen Wellington Road, 1.5, GB1057A,394397, Urban Traffic, North East Scotland,57.133888,-2.094198,804779,   Aberdeen ,ABD8, UKA00615
Armagh Roadside, 41, GB0996A,97684, Urban Traffic, Northern Ireland,54.353728,-6.654558,505347,   Armagh ,ARM6, UKA00541
Aston Hill, 370, GB0031R,329899, Rural Background, North Wales,52.50385,-3.034178,290053,   Aston Hill ,AH, UKA00137
Auchencorth Moss, 260, GB0048R,322166, Rural Background, Central Scotland,55.79216,-3.2429,656128,   Auchencorth ,ACTH, UKA00451
Ballymena Antrim Road, Not available, GB1074A,125704, Urban Traffic, Northern Ireland,54.851491,-6.274961,559121, 61 Antrim Road  Ballymena ,BAAR, UKA00633
Ballymena Ballykeel, 59, GB0934A,127317, Urban Background, Northern Ireland,54.861595,-6.250873,560150,   Ballymena ,BALM, UKA00503
Barnsley 12,120, GB0600A,434204, Urban Background, Yorkshire & Humberside,53.55593,-1.485153,406713,   Barnsley ,BAR2, UKA00236
Barnsley Gawber, 100, GB0681A,432524, Urban Background, Yorkshire & Humberside,53.56292,-1.510436,407478,   Barnsley ,BAR3, UKA00353
Barnstaple A39, 13, GB1029A,257048, Urban Traffic, South West,51.074793,-4.041924,132591, Not available,BPLE, UKA00574
Bath Roadside, 27, GB0647A,375455, Urban Traffic, South West,51.391127,-2.354155,165847,   Bath ,BATH, UKA00306
Belfast Centre, 10, GB0567A,146338, Urban Background, Northern Ireland,54.59965,-5.928833,529817,   Belfast ,BEL2, UKA00212
Belfast Clara St,20, GB0696A,148441, Suburban Background, Northern Ireland,54.591256,-5.89546,528763,   Belfast ,BEL4, UKA00371
Belfast East,20, GB0514A,148072, Urban Background, Northern Ireland,54.59653,-5.901667,529372,   Belfast ,BEL, UKA00175
Belfast Stockman's Lane, 9, GB1036A,143191, Urban Traffic, Northern Ireland,54.572586,-5.974944,526975, Not available,BEL1, UKA00594
Billingham, 10, GB0421A,446928, Urban Industrial, North East,54.60537,-1.275039,523597,   Billingham ,BIL, UKA00153
Birkenhead Borough Road, 7, GB1066A,331926, Urban Traffic, North West & Merseyside,53.388511,-3.025014,388453, Grass Verge Borough Road Birkenhead CH41 2YE,BBRD, UKA00625
Birmingham A4540 Roadside, 109, GB1067A,408586, Urban Traffic, West Midlands,52.47609,-1.875024,286470, Keely Street Birmingham West Midlands B9 4HQ,BIRR, UKA00626
Birmingham Acocks Green, 134, GB1013A,411654, Urban Background, West Midlands,52.437165,-1.829999,282146, Fox Hollies Leisure Centre Shirley Road Birmingham B27 7NS,AGRN, UKA00559
Birmingham Centre,163, GB0569A,406340, Urban Background, West Midlands,52.479724,-1.908078,286870,   Birmingham ,BIRM, UKA00214
Birmingham East,100, GB0595A,411536, Urban Background, West Midlands,52.49763,-1.831498,288872,   Birmingham ,BIR2, UKA00229
Birmingham Tyburn,93, GB0851A,411595, Urban Background, West Midlands,52.511722,-1.830583,290439,   Birmingham ,BIR1, UKA00479
Birmingham Tyburn Roadside,93, GB0960A,411576, Urban Traffic, West Midlands,52.512194,-1.830861,290492,   Birmingham ,BIRT, UKA00543
Blackburn Accrington Road, 142, GB1032A,370242, Urban Traffic, North West & Merseyside,53.747751,-2.452724,428026,"   Accrington Road Community Centre, Accrington Road, BB1 2AE",BLAR, UKA00590
Blackburn Darwen Roadside,139, GB0961A,368167, Urban Traffic, North West & Merseyside,53.715504,-2.483815,424452,   Blackburn ,BLCB, UKA00545
Blackpool,6, GB0727A,332289, Urban Background, North West & Merseyside,53.79046,-3.029283,433174,   Blackpool ,BLAC, UKA00412
Blackpool Marton, 16, GB0882A,333768, Urban Background, North West & Merseyside,53.80489,-3.007175,434759,   Blackpool ,BLC2, UKA00488
Bolton,103, GB0654A,370988, Urban Background, North West & Merseyside,53.57232,-2.439583,408503,   Bolton ,BOLT, UKA00326
Borehamwood Meadow Park, Not available, GB1086A,519709, Urban Background, Eastern,51.661229,-0.270671,197243, Borehamwood Bowls Club Brook Road Borehamwood WD6 5HL,BDMP, UKA00644
Bottesford,32, GB0032R,479771, Rural Background, East Midlands,52.93028,-0.814722,337643,   Bottesford ,BOT, UKA00055
Bournemouth, 30, GB0741A,412322, Urban Background, South West,50.73957,-1.826744,93343,   Bournemouth ,BORN, UKA00429
Bradford Centre,102, GB0689A,416652, Urban Background, Yorkshire & Humberside,53.79339,-1.748694,433038,   Bradford ,BRAD, UKA00364
Bradford Mayo Avenue, 187, GB1053A,415931, Urban Traffic, Yorkshire & Humberside,53.771245,-1.759774,430572, 55 Mayo Avenue  Bradford BD5 8HR,BDMA, UKA00611
Brentford Roadside,15, GB0774A,517422, Urban Traffic, Greater London,51.489448,-0.310121,178076,   London ,BRN, UKA00460
Brighton Preston Park, 10, GB0860A,530524, Urban Background, South East,50.840836,-0.147572,106225,   Brighton ,BRT3, UKA00483
