Site Name,Altitude (metres),EU Site ID,Easting,Environment Type,Government Region,Latitude,Longitude,Northing,Site Address,Site Code,UK-AIR ID
Aberdeen, 20, GB0729A, 394396, Urban Background, North East Scotland, 57.157360, -2.094278, 807392,   Aberdeen ,ABD, UKA00399
Aberdeen Union Street Roadside, 26, GB0923A, 393656, Urban Traffic, North East Scotland, 57.144555, -2.106472, 805968,   Aberdeen ,ABD7, UKA00513
Aberdeen Wellington Road, 1.5, GB1057A, 394397, Urban Traffic, North East Scotland, 57.133888, -2.094198, 804779,   Aberdeen ,ABD8, UKA00615
Armagh Roadside, 41, GB0996A, 97684, Urban Traffic, Northern Ireland, 54.353728, -6.654558, 505347,   Armagh ,ARM6, UKA00541
Aston Hill, 370, GB0031R, 329899, Rural Background, North Wales, 52.503850, -3.034178, 290053,   Aston Hill ,AH, UKA00137
Auchencorth Moss, 260, GB0048R, 322166, Rural Background, Central Scotland, 55.792160, -3.242900, 656128,   Auchencorth ,ACTH, UKA00451
Ballymena Antrim Road, Not available, GB1074A, 125704, Urban Traffic, Northern Ireland, 54.851491, -6.274961, 559121, 61 Antrim Road  Ballymena ,BAAR, UKA00633
Ballymena Ballykeel, 59, GB0934A, 127317, Urban Background, Northern Ireland, 54.861595, -6.250873, 560150,   Ballymena ,BALM, UKA00503
Barnsley Gawber, 100, GB0681A, 432524, Urban Background, Yorkshire & Humberside, 53.562920, -1.510436, 407478,   Barnsley ,BAR3, UKA00353
Barnstaple A39, 13, GB1029A, 257048, Urban Traffic, South West, 51.074793, -4.041924, 132591, Not available,BPLE, UKA00574
Bath Roadside, 27, GB0647A, 375455, Urban Traffic, South West, 51.391127, -2.354155, 165847,   Bath ,BATH, UKA00306
Belfast Centre, 10, GB0567A, 146338, Urban Background, Northern Ireland, 54.599650, -5.928833, 529817,   Belfast ,BEL2, UKA00212
Belfast Stockman's Lane, 9, GB1036A, 143191, Urban Traffic, Northern Ireland, 54.572586, -5.974944, 526975, Not available,BEL1, UKA00594
Billingham, 10, GB0421A, 446928, Urban Industrial, North East, 54.605370, -1.275039, 523597,   Billingham ,BIL, UKA00153
Birkenhead Borough Road, 7, GB1066A, 331926, Urban Traffic, North West & Merseyside, 53.388511, -3.025014, 388453, Grass Verge Borough Road Birkenhead CH41 2YE,BBRD, UKA00625
Birmingham A4540 Roadside, 109, GB1067A, 408586, Urban Traffic, West Midlands, 52.476090, -1.875024, 286470, Keely Street Birmingham West Midlands B9 4HQ,BIRR, UKA00626
Birmingham Acocks Green, 134, GB1013A, 411654, Urban Background, West Midlands, 52.437165, -1.829999, 282146, Fox Hollies Leisure Centre Shirley Road Birmingham B27 7NS,AGRN, UKA00559
Blackburn Accrington Road, 142, GB1032A, 370242, Urban Traffic, North West & Merseyside, 53.747751, -2.452724, 428026,"   Accrington Road Community Centre, Accrington Road, BB1 2AE",BLAR, UKA00590
Blackpool Marton, 16, GB0882A, 333768, Urban Background, North West & Merseyside, 53.804890, -3.007175, 434759,   Blackpool ,BLC2, UKA00488
Borehamwood Meadow Park, Not available, GB1086A, 519709, Urban Background, Eastern, 51.661229, -0.270671, 197243, Borehamwood Bowls Club Brook Road Borehamwood WD6 5HL,BDMP, UKA00644
Bournemouth, 30, GB0741A, 412322, Urban Background, South West, 50.739570, -1.826744, 93343,   Bournemouth ,BORN, UKA00429
Bradford Mayo Avenue, 187, GB1053A, 415931, Urban Traffic, Yorkshire & Humberside, 53.771245, -1.759774, 430572, 55 Mayo Avenue  Bradford BD5 8HR,BDMA, UKA00611
Brighton Preston Park, 10, GB0860A, 530524, Urban Background, South East, 50.840836, -0.147572, 106225,   Brighton ,BRT3, UKA00483
Bristol St Paul's, 15, GB0884A, 359492, Urban Background, South West, 51.462839, -2.584482, 173925,   Bristol ,BRS8, UKA00494
Bristol Temple Way, Not available, GB1072A, 359523, Urban Traffic, South West, 51.457968, -2.583975, 173383,   Bristol ,BR11, UKA00631
Bury Whitefield Roadside, 102, GB1040A, 380637, Urban Traffic, North West & Merseyside, 53.559029, -2.293772, 406974, Not available,BURW, UKA00598
Bush Estate, 180, GB0033R, 324629, Rural Background, Central Scotland, 55.862281, -3.205782, 663891,   Bush Estate ,BUSH, UKA00128
Cambridge Roadside, 19, GB0726A, 545279, Urban Traffic, Eastern, 52.202370, 0.124456, 258142,   Cambridge ,CAM, UKA00396
Camden Kerbside, 50, GB0636A, 526633, Urban Traffic, Greater London, 51.544210, -0.175269, 184390,   London ,CA1, UKA00259
Cannock A5190 Roadside, 182, GB1064A, 401394, Urban Traffic, West Midlands, 52.687298, -1.980821, 309957, Cannock A5190 Roadside  Cannock WS12 3HQ,CANK, UKA00623
Canterbury, 35, GB0737A, 616187, Urban Background, South East, 51.273990, 1.098061, 157319,   Canterbury ,CANT, UKA00424
Cardiff Centre, 12, GB0580A, 318416, Urban Background, South Wales, 51.481780, -3.176250, 176526,   Cardiff ,CARD, UKA00217
Carlisle Roadside, 11, GB0925A, 339469, Urban Traffic, North West & Merseyside, 54.894834, -2.945307, 555976, Not available,CARL, UKA00526
Charlton Mackrell, 54, GB0957A, 352196, Rural Background, South West, 51.056250, -2.683450, 128768,   Charlton ,MACK, UKA00537
Chatham Roadside, 80, GB1007A, 577437, Urban Traffic, South East, 51.374264, 0.547970, 166993,   Chatham ,CHAT, UKA00553
Chepstow A48, 67, GB0921A, 353126, Urban Traffic, South Wales, 51.638094, -2.678731, 193473, Hardwick Hill Chepstow Chepstow ,CHP, UKA00515
Chesterfield Loundsley Green, 98, GB1046A, 436470, Urban Background, East Midlands, 53.244131, -1.454946, 372039, Not available,CHLG, UKA00604
Chesterfield Roadside, 96, GB0928A, 436348, Urban Traffic, East Midlands, 53.231722, -1.456944, 370658,   Chesterfield ,CHS7, UKA00529
Chilbolton Observatory, 78, GB1055R, 439390, Rural Background, South East, 51.149617, -1.438228, 139078, Not available,CHBO, UKA00614
Christchurch Barrack Road, 3, GB1065A, 415559, Urban Traffic, South West, 50.735454, -1.780888, 92894, Not available,CHBR, UKA00624
Coventry Allesley, 98, GB1034A, 430011, Urban Background, West Midlands, 52.411563, -1.560228, 279376,   Coventry CV5 9HS,COAL, UKA00592
Coventry Binley Road, Not available, GB1075A, 434785, Urban Traffic, West Midlands, 52.407708, -1.490082, 278978, Grass Verge within Gosford Green Binley Road Coventry ,COBR, UKA00634
Cwmbran, 71, GB0744A, 330436, Urban Background, South Wales, 51.653800, -3.006953, 195481,   Cardiff ,CWMB, UKA00436
Derby St Alkmund's Way, Not available, GB1071A, 435763, Urban Traffic, East Midlands, 52.922983, -1.469507, 336306, Bass's Recreation Ground St Alkmund's Way Derby ,DESA, UKA00630
Derry Rosemount, 54, GB1060A, 59253, Urban Background, Northern Ireland, 55.002818, -7.331179, 580590," Horticultural Training Centre Brook Park, Rosemount Derry BT48 0HH",DERR, UKA00619
Doncaster A630 Cleveland Street, 15, GB1054A, 457247, Urban Traffic, Yorkshire & Humberside, 53.518868, -1.138073, 402812, Cleveland Street Doncaster  ,DCST, UKA00612
Dumbarton Roadside, 3, GB1008A, 240235, Urban Traffic, Central Scotland, 55.943197, -4.559730, 675199,   Dumbarton ,DUMB, UKA00555
Dumfries, 10, GB0740A, 297020, Urban Traffic, Scottish Borders, 55.070033, -3.614233, 576254,   Dumfries ,DUMF, UKA00428
Dundee Mains Loan, Not available, GB1085A, 340971, Urban Background, North East Scotland, 56.475434, -2.959861, 731892, North of Sports Ground Mains Loan Dundee ,DCC1, UKA00643
Ealing Horn Lane, 30, GB1033A, 520434, Urban Traffic, Greater London, 51.518950, -0.265617, 181429, Horn Lane Ealing London W3 0BU,EA8, UKA00591
Eastbourne, 7, GB1005A, 560155, Urban Background, South East, 50.805778, 0.271611, 103150,   Eastbourne BN22 9PP,EB, UKA00546
Edinburgh St Leonards, 81, GB0839A, 326264, Urban Background, Central Scotland, 55.945589, -3.182186, 673136,   Edingurgh ,ED3, UKA00454
Eskdalemuir, 255, GB0002R, 323551, Rural Background, Scottish Borders, 55.315310, -3.206111, 603022,   Eskdalemuir ,ESK, UKA00130
Exeter Roadside, 43, GB0640A, 291929, Urban Traffic, South West, 50.725083, -3.532465, 92838,   Exeter ,EX, UKA00263
Fort William, 5, GB0885A, 210850, Suburban Background, Highland, 56.822660, -5.101102, 774419,   Fort William ,FW, UKA00495
Glasgow Great Western Road, Not available, GB1035A, 258007, Urban Traffic, Central Scotland, 55.872038, -4.270936, 666651, Not available,GGWR, UKA00593
Glasgow High Street, 35, GB1044A, 260014, Urban Traffic, Central Scotland, 55.860936, -4.238214, 665349,   Glasgow ,GHSR, UKA00602
Glasgow Kerbside, 10, GB0657A, 258714, Urban Traffic, Central Scotland, 55.859170, -4.258889, 665195,   Glasgow ,GLA4, UKA00336
Glasgow Townhead, 40, GB1028A, 259693, Urban Background, Central Scotland, 55.865782, -4.243631, 665899, Not available,GLKP, UKA00576
Glazebury, 21, GB0034R, 368755, Rural Background, North West & Merseyside, 53.460080, -2.472056, 396030,   Glazebury ,GLAZ, UKA00170
Grangemouth, 4, GB0735A, 293830, Urban Industrial, Central Scotland, 56.010319, -3.704399, 681021,   Grangemouth ,GRAN, UKA00420
Grangemouth Moray, 4, GB0997A, 293437, Urban Industrial, Central Scotland, 56.013142, -3.710833, 681345,   Grangemouth ,GRA2, UKA00544
Greenock A8 Roadside, 9, GB1062A, 229332, Urban Traffic, Central Scotland, 55.944079, -4.734421, 675715, Not available,GKA8, UKA00621
Hafod-yr-ynys Roadside, Not available, GB1038A, 321727, Urban Traffic, South Wales, 51.680579, -3.133508, 198588, Not available,CAE6, UKA00596
Haringey Roadside, 10, GB0637A, 533894, Urban Traffic, Greater London, 51.599300, -0.068218, 190707,   London ,HG1, UKA00260
Hartlepool St Abbs Walk, Not available, GB1087A, 451429, Urban Background, North East, 54.683242, -1.203838, 532312, Grass Area adjacent to St Abbs Walk Sheerness Grove Hartlepool TS24 7NE,HSAW, UKA00645
High Muffles, 267, GB0014R, 477569, Rural Background, Yorkshire & Humberside, 54.334944, -0.808550, 493919,   High Muffles ,HM, UKA00169
Honiton, 122, GB1017A, 315749, Urban Background, South West, 50.792287, -3.196702, 99874, Not available,HONI, UKA00566
Horley, 40, GB0916A, 528206, Suburban Industrial, South East, 51.165865, -0.167734, 142331,   Horley RH6,HORE, UKA00511
Hull Freetown, 4, GB0776A, 509482, Urban Background, Yorkshire & Humberside, 53.748780, -0.341222, 429322,   Hull ,HUL2, UKA00450
Hull Holderness Road, 4, GB1042A, 511794, Urban Traffic, Yorkshire & Humberside, 53.758971, -0.305749, 430511, St Columba's Church Holderness Road Hull HU8 8PA,HULR, UKA00600
Immingham Woodlands Avenue, Not available, GB1089A, 518277, Urban Background, Yorkshire & Humberside, 53.619241, -0.213324, 415116, Junction of Woodlands Avenue and Oaklands Road Immingham  DN40 2JA,IMGM, UKA00647
Inverness, 1, GB0742A, 265709, Urban Traffic, Highland, 57.481308, -4.241451, 845669,   Inverness ,INV2, UKA00434
Ladybower, 420, GB0037R, 416585, Rural Background, East Midlands, 53.403370, -1.752006, 389645,   Ladybower ,LB, UKA00171
Leamington Spa, 175, GB0643A, 431943, Urban Background, West Midlands, 52.288810, -1.533119, 265733,   Leamington Spa ,LEAM, UKA00265
Leamington Spa Rugby Road, 66, GB1018A, 431271, Urban Traffic, West Midlands, 52.294884, -1.542911, 266404, Not available,LEAR, UKA00564
Leeds Centre, 78, GB0584A, 429967, Urban Background, Yorkshire & Humberside, 53.803780, -1.546472, 434260,   Leeds ,LEED, UKA00222
Leeds Headingley Kerbside, 85, GB0926A, 427987, Urban Traffic, Yorkshire & Humberside, 53.819972, -1.576361, 436049,   Leeds ,LED6, UKA00527
Leicester A594 Roadside, 59, GB1051A, 459361, Urban Traffic, East Midlands, 52.638677, -1.124228, 304908, Not available,LEIR, UKA00609
Leicester University, 83, GB1026A, 459178, Urban Background, East Midlands, 52.619823, -1.127311, 302808, Not available,LECU, UKA00573
Leominster, 75, GB0861A, 349774, Suburban Background, West Midlands, 52.221740, -2.736665, 258426,   Leominster ,LEOM, UKA00489
Lerwick, 80, GB0881A, 445351, Rural Background, Highland, 60.139220, -1.185319, 1139690, Met Office Observatory Lerwick  ,LERW, UKA00486
Lincoln Canwick Road, 7, GB1014A, 497964, Urban Traffic, East Midlands, 53.221373, -0.534189, 370372, Not available,LIN3, UKA00561
Liverpool Speke, 26, GB0777A, 343887, Urban Industrial, North West & Merseyside, 53.346330, -2.844333, 383603,   Liverpool ,LVP, UKA00247
London Bexley, 13, GB0608A, 551859, Suburban Background, Greater London, 51.466030, 0.184806, 176381,   London ,BEX, UKA00238
London Bloomsbury, 20, GB0566A, 530119, Urban Background, Greater London, 51.522290, -0.125889, 182039,   London ,CLL2, UKA00211
London Eltham, 60, GB0586A, 543981, Suburban Background, Greater London, 51.452580, 0.070766, 174655,   London ,LON6, UKA00230
London Haringey Priory Park South, 37, GB1024A, 529987, Urban Background, Greater London, 51.584128, -0.125254, 188917, Not available,HG4, UKA00568
London Harlington, 35, GB0837A, 508295, Urban Industrial, Greater London, 51.488790, -0.441614, 177800,   London ,HRL, UKA00472
London Harrow Stanmore, 79, GB0959A, 517879, Urban Background, Greater London, 51.617333, -0.298777, 192316,   London ,HR3, UKA00540
London Hillingdon, 34, GB0642A, 506941, Urban Background, Greater London, 51.496330, -0.460861, 178610,   London ,HIL, UKA00266
London Marylebone Road, 35, GB0682A, 528126, Urban Traffic, Greater London, 51.522530, -0.154611, 182015,   London ,MY1, UKA00315
London N. Kensington, 5, GB0620A, 524045, Urban Background, Greater London, 51.521050, -0.213492, 181749,   London ,KC1, UKA00253
London Teddington Bushy Park, 11, GB1025A, 515120, Urban Background, Greater London, 51.425286, -0.345606, 170884,   London ,TED2, UKA00572
London Westminster, 5, GB0743A, 529778, Urban Background, Greater London, 51.494670, -0.131931, 178957,   London ,HORS, UKA00435
Lough Navar, 130, GB0006R, 17628, Rural Background, Northern Ireland, 54.439510, -7.900328, 520946,   Lough Navar ,LN, UKA00166
Lullington Heath, 125, GB0038R, 553829, Rural Background, South East, 50.793700, 0.181250, 101616,   Lullington Heath ,LH, UKA00152
Luton A505 Roadside, 136, GB1047A, 505927, Urban Traffic, Eastern, 51.892293, -0.462110, 222644, Dunstable Road Luton  LU4 8QW,LUTR, UKA00605
Mace Head, 15, IE0031R, -125862, Rural Background, West Ireland, 53.326444, -9.903917, 410236, Not available,MH, UKA00167
Manchester Piccadilly, 45, GB0613A, 384311, Urban Background, North West & Merseyside, 53.481520, -2.237881, 398337,   Manchester ,MAN3, UKA00248
Manchester Sharston, Not available, GB1058A, 384181, Suburban Industrial, North West & Merseyside, 53.371306, -2.239218, 386076, Not available,MAHG, UKA00617
Market Harborough, 145, GB0838A, 483340, Rural Background, East Midlands, 52.554444, -0.772222, 295886,   Market Harborough ,MKTH, UKA00463
Middlesbrough, 10, GB0583A, 450471, Urban Industrial, North East, 54.569297, -1.220874, 519621,   Middlesbrough ,MID, UKA00220
Narberth, 160, GB0043R, 214440, Rural Background, South Wales, 51.781784, -4.691462, 212663,   Narberth ,PEMB, UKA00323
Newcastle Centre, 45, GB0568A, 425026, Urban Background, North East, 54.978250, -1.610528, 564918,   Newcastle ,NEWC, UKA00213
Newcastle Cradlewell Roadside, 42, GB0927A, 425992, Urban Traffic, North East, 54.986405, -1.595362, 565831,   Newcastle  ,NCA3, UKA00528
Newport, 24, GB0962A, 332410, Urban Background, South Wales, 51.601203, -2.977281, 189604,   Newport ,NPT3, UKA00380
Northampton Spring Park, Not available, GB1073A, 474022, Urban Background, East Midlands, 52.272257, -0.916605, 264342, Grass Verge Entrance of Spring Park Acre Lane Northampton ,NTN4, UKA00632
