Fire_Lons,Fire_Lats
152.334,-29.202
147.948,-21.074
145.747,-21.011
142.032,-19.911
142.207,-18.551
143.864,-17.644
145.216,-16.905
132.847,-18.227
143.914,-16.826
144.0,-16.545
142.847,-16.711
143.915,-16.489
142.792,-16.446
142.467,-16.491
142.614,-16.406
144.275,-16.1
136.76,-16.998
143.046,-16.144
143.851,-15.892
143.834,-15.828
143.971,-15.739
142.834,-15.902
142.676,-15.924
142.433,-15.958
142.0,-15.953
143.862,-15.622
142.561,-15.811
142.631,-15.729
144.632,-15.372
143.006,-15.611
142.534,-15.678
142.453,-15.689
142.372,-15.701
143.377,-15.487
142.114,-15.664
143.658,-15.381
142.666,-15.523
142.507,-15.545
141.757,-15.649
141.67,-15.661
143.788,-15.295
143.417,-15.349
142.728,-15.449
141.654,-15.6
142.559,-15.402
142.317,-15.435
141.902,-15.492
141.816,-15.504
141.643,-15.527
141.555,-15.539
143.833,-15.153
143.464,-15.207
143.087,-15.262
142.856,-15.295
142.778,-15.306
142.462,-15.351
142.3,-15.373
141.799,-15.443
141.539,-15.479
142.683,-15.254
142.283,-15.311
141.697,-15.394
141.61,-15.406
143.059,-15.129
142.829,-15.162
142.354,-15.229
141.686,-15.321
142.093,-15.202
141.756,-15.249
141.67,-15.261
143.184,-14.976
143.108,-14.987
142.645,-15.052
142.567,-15.063
142.164,-15.119
142.082,-15.13
141.831,-15.165
141.746,-15.176
144.482,-14.719
142.628,-14.989
142.31,-15.034
143.149,-14.849
142.921,-14.882
142.293,-14.972
142.756,-14.835
141.787,-14.97
141.702,-14.982
142.662,-14.783
141.77,-14.909
141.685,-14.921
142.952,-14.676
144.191,-14.425
142.789,-14.629
141.743,-14.776
131.982,-15.901
142.141,-14.656
131.975,-15.879
141.631,-14.654
141.724,-14.313
141.64,-14.325
141.713,-14.241
141.696,-14.18
141.612,-14.192
141.686,-14.108
141.602,-14.12
